Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	Comb Sort      	Cocktail Sort  
50	44745.3	17259.94	18889.99	14951.605	17214.34	31655.346
100	40804.953	14679.845	52764.426	11199.07	23814.945	73269.97
150	64331.83	24682.846	13633.275	13946.935	25109.48	118943.36
200	95155.78	38017.094	20171.84	17208.895	19737.92	97914.46
250	146476.03	57665.64	30885.91	22503.92	24773.994	111985.39
300	207113.77	81254.48	43986.766	28278.545	29866.635	157051.58
350	279260.53	109113.6	58838.066	34193.516	37630.566	212073.3
400	354904.72	138283.73	75239.17	38637.035	41683.855	270315.12
450	436148.25	168438.48	90604.66	43100.57	51564.703	331487.12
500	531327.5	205523.8	111476.7	48492.336	53449.977	403768.8
550	644394.06	246390.86	133444.5	54538.574	62513.99	486049.8
600	760219.8	290827.84	157576.73	59629.426	67356.77	573416.25
650	882446.94	337082.97	183667.16	64951.76	71663.57	666190.4
700	1010875.25	390370.8	212248.42	70492.98	82113.25	766479.25
750	1158855.6	445303.12	242043.86	76491.87	94904.12	873392.25
800	1312105.5	504150.44	277085.1	82636.56	95214.08	990252.9
850	1473448.6	566213.94	306135.1	87831.31	97298.21	1109597.1
900	1651066.4	628709.6	347344.97	94023.48	104427.5	1244825.5
950	1814229.8	696901.7	382663.47	99953.03	114680.32	1368888.8
1000	2008715.0	774055.2	421324.16	105116.78	122832.56	1519447.4
